generation,best,mean,std,worst
0,632.3135781120113,472.98874582957814,68.89986293103635,411.94395567912903
1,669.1429055620562,536.7578740103903,91.74567007755742,383.47750035567327
2,669.1429055620562,560.9350030282079,79.65837936193952,413.0724082593852
3,729.3908117667385,635.3548554542175,60.89766006966456,460.5894455839389
4,730.587633516648,612.8330058437645,106.3874906079371,434.8298360265156
5,730.587633516648,649.9858839561698,78.62629187319477,421.1852162486971
